Format version,Period,User ID
1,01-01-2025..30-12-2025,c0675SB56ge2DX7aKURP4Ai4JnA3

###

Date,Payment,Is paid,Amount,Currency,Account,Category,Subcategory,Goal,Description
03-02-2025,Pago de ROBOX ,true,18.11,MXN,NCwallet ,Inversión,ROBOX,,
04-02-2025,Semanal,true,300,MXN,BBVA,Salario,,,
04-02-2025,Refresco ,true,-19,MXN,BBVA,Comida,,,
05-02-2025,Pago CryptoTab Pool,true,40.13,MXN,NCwallet ,Inversión,CryptoTab Pool,,
05-02-2025,Pago CryptoTab browser ,true,20.07,MXN,NCwallet ,Inversión,CryptoTab Browser,,
05-02-2025,Pago ROBOX Fit,true,2.05,MXN,NCwallet ,Inversión,ROBOX,,
05-02-2025,Transferencia a Monedero físico  (In),true,300,MXN,Monedero físico ,Transferencia,,,
05-02-2025,Transferencia a Monedero físico  (Out),true,-300,MXN,BBVA,Transferencia,,,
06-02-2025,Compra de libro,true,-230,MXN,Monedero físico ,Educación,,,
07-02-2025,Pago ROBOX,true,17.37,MXN,NCwallet ,Inversión,ROBOX,,
09-02-2025,Transferencia a NCwallet  (Out),true,-16.87,MXN,Cwallet ,Transferencia,,,
09-02-2025,Transferencia a NCwallet  (In),true,16.87,MXN,NCwallet ,Transferencia,,,
10-02-2025,Compra de libro,true,-300,MXN,Monedero físico ,Educación,,,
10-02-2025,Semanal ,true,71.19,MXN,BBVA,Salario,,,
10-02-2025,Semanal ,true,200,MXN,Monedero físico ,Salario,,,
10-02-2025,Café,true,-29,MXN,BBVA,Comida,,,
11-02-2025,Pago ROBOX,true,15.83,MXN,NCwallet ,Inversión,ROBOX,,
11-02-2025,Pago CryptoTab Pool,true,29.46,MXN,NCwallet ,Inversión,CryptoTab Pool,,
11-02-2025,Cortauñas ,true,-20,MXN,Monedero físico ,Salud,,,
11-02-2025,Transferencia a MetaMask (Out),true,-262.89,MXN,NCwallet ,Transferencia,,,
11-02-2025,Transferencia a MetaMask (In),true,262.89,MXN,MetaMask,Transferencia,,,
11-02-2025,Transferencia a Exnova (In),true,210,MXN,Exnova (1era cuenta),Transferencia,,,
11-02-2025,Transferencia a Exnova (Out),true,-210,MXN,MetaMask,Transferencia,,,
11-02-2025,Comida | 3 productos,true,-36,MXN,Monedero físico ,Comida,,,
12-02-2025,Ganancias del día ,true,37,MXN,Exnova (1era cuenta),Trading ,Exnova,,
12-02-2025,Reposición objeto laboratorio,true,-23,MXN,Monedero físico ,Educación,,,
13-02-2025,Pago CryptoTab Browser,true,19.80,MXN,NCwallet ,Inversión,CryptoTab Browser,,
13-02-2025,Ampliación de almacenamiento en Google | 30GB,true,-5,MXN,Google Play ,Play Store,Suscripciones,,
13-02-2025,Pago de Bitcoin Mining,true,9.70,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
13-02-2025,Pago de ROBOX Fit,true,2.04,MXN,NCwallet ,Inversión,ROBOX,,
13-02-2025,Agua,true,-26,MXN,BBVA,Comida,,,
14-02-2025,Pago de Bitcoin Mining,true,0.20,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
14-02-2025,Ganancias del día,true,44,MXN,Exnova (1era cuenta),Trading ,Exnova,,
15-02-2025,Pago ROBOX,true,15.64,MXN,NCwallet ,Inversión,ROBOX,,
15-02-2025,Transferencia a Cwallet  (In),true,258.62,MXN,Cwallet ,Transferencia,,,
15-02-2025,Transferencia a Cwallet  (Out),true,-258.62,MXN,Exnova (1era cuenta),Transferencia,,,
16-02-2025,Transferencia a Cwallet  (Out),true,-41.10,MXN,MetaMask,Transferencia,,,
16-02-2025,Transferencia a Cwallet  (In),true,41.10,MXN,Cwallet ,Transferencia,,,
16-02-2025,Transferencia a Google Play  (Out),true,-100,MXN,Monedero físico ,Transferencia,,,
16-02-2025,Transferencia a Google Play  (In),true,100,MXN,Google Play ,Transferencia,,,
16-02-2025,Transferencia a Cwallet  (In),true,25.77,MXN,Cwallet ,Transferencia,,,
16-02-2025,Transferencia a Cwallet  (Out),true,-25.77,MXN,Wallet Muun,Transferencia,,,
17-02-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
17-02-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
17-02-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
17-02-2025,Compra nivel 1 minería,true,-115,MXN,Google Play ,Inversión,Bit tycoon,,
17-02-2025,Compra nivel 2 minería,true,-165,MXN,Google Play ,Inversión,Bit tycoon,,
18-02-2025,Pago CryptoTab Pool,true,38.37,MXN,NCwallet ,Inversión,CryptoTab Pool,,
18-02-2025,Transferencia a NCwallet  (Out),true,-2,MXN,Cwallet ,Transferencia,,,
18-02-2025,Transferencia a NCwallet  (In),true,2,MXN,NCwallet ,Transferencia,,,
19-02-2025,Pago ROBOX,true,17.39,MXN,NCwallet ,Inversión,ROBOX,,
19-02-2025,Pago CryptoTab Browser,true,19.67,MXN,NCwallet ,Inversión,CryptoTab Browser,,
19-02-2025,Engargolado de manual de química,true,-33,MXN,Monedero físico ,Educación,,,
19-02-2025,Lentes de seguridad,true,-29.50,MXN,Monedero físico ,Educación,,,
20-02-2025,Comida,true,-15,MXN,Monedero físico ,Comida,,,
20-02-2025,Pago ROBOX Fit,true,2.03,MXN,NCwallet ,Inversión,ROBOX,,
21-02-2025,Transferencia a Exnova (In),true,200,MXN,Exnova (1era cuenta),Transferencia,,,
21-02-2025,Transferencia a Exnova (Out),true,-200,MXN,Cwallet ,Transferencia,,,
21-02-2025,Ingresos del día,true,44,MXN,Exnova (1era cuenta),Trading ,Exnova,,
22-02-2025,Transporte,true,-10,MXN,Tarjeta tren,Transporte,,,
22-02-2025,Recarga pequeña,true,3,MXN,Tarjeta tren,Recompensas,,,
23-02-2025,Pago ROBOX,true,14.31,MXN,NCwallet ,Inversión,ROBOX,,
24-02-2025,Transferencia a NCwallet  (Out),true,-112.18,MXN,Cwallet ,Transferencia,,,
24-02-2025,Transferencia a NCwallet  (In),true,112.18,MXN,NCwallet ,Transferencia,,,
24-02-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
24-02-2025,Transferencia a Google Play  (Out),true,-100,MXN,Monedero físico ,Transferencia,,,
24-02-2025,Transferencia a Google Play  (In),true,100,MXN,Google Play ,Transferencia,,,
25-02-2025,Pago CryptoTab Pool,true,36,MXN,NCwallet ,Inversión,CryptoTab Pool,,
26-02-2025,Pago CryptoTab Browser,true,17.60,MXN,NCwallet ,Inversión,CryptoTab Browser,,
27-02-2025,Pago ROBOX Fit,true,2.05,MXN,NCwallet ,Inversión,ROBOX,,
27-02-2025,Recompensas,true,20,MXN,Monedero físico ,Recompensas,,,
28-02-2025,Comida,true,-15,MXN,Monedero físico ,Comida,,,
28-02-2025,Pago CryptoTab Pool,true,17.31,MXN,NCwallet ,Inversión,CryptoTab Pool,,
28-02-2025,Pago CryptoTab Browser,true,5.19,MXN,NCwallet ,Inversión,CryptoTab Browser,,
01-03-2025,Transferencia a Cwallet  (Out),true,-303.19,MXN,NCwallet ,Transferencia,,,
01-03-2025,Transferencia a Cwallet  (In),true,303.19,MXN,Cwallet ,Transferencia,,,
01-03-2025,Transferencia a Exnova (In),true,200,MXN,Exnova (1era cuenta),Transferencia,,,
01-03-2025,Transferencia a Exnova (Out),true,-200,MXN,Cwallet ,Transferencia,,,
01-03-2025,Ganancias del día,true,22.50,MXN,Exnova (1era cuenta),Trading ,Exnova,,
02-03-2025,Transferencia a Cwallet  (Out),true,-360.50,MXN,Exnova (1era cuenta),Transferencia,,,
02-03-2025,Transferencia a Cwallet  (In),true,360.50,MXN,Cwallet ,Transferencia,,,
02-03-2025,Ganancias del día,true,21.50,MXN,Exnova (1era cuenta),Trading ,Exnova,,
02-03-2025,Transferencia a RedotPay (In),true,303.07,MXN,RedotPay,Transferencia,,,
02-03-2025,Transferencia a RedotPay (Out),true,-303.07,MXN,Cwallet ,Transferencia,,,
02-03-2025,Renovación de suscripción 25k H/s | Trimestral,true,-276.25,MXN,RedotPay,Inversión,CryptoTab Pool,,
03-03-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
03-03-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
03-03-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
03-03-2025,Compra de más poder computacional,true,-219,MXN,Google Play ,Inversión,Bitcoin Mining,,
03-03-2025,3 hojas de colores,true,-3,MXN,Monedero físico ,Educación,,,
03-03-2025,Cashback por compra,true,29.06,MXN,NCwallet ,Recompensas,,,
05-03-2025,Transferencia a NCwallet  (In),true,121.77,MXN,NCwallet ,Transferencia,,,
05-03-2025,Transferencia a NCwallet  (Out),true,-121.77,MXN,Cwallet ,Transferencia,,,
06-03-2025,Pago CryptoTab Pool,true,36.56,MXN,NCwallet ,Inversión,CryptoTab Pool,,
06-03-2025,Pago CryptoTab browser,true,16.42,MXN,NCwallet ,Inversión,CryptoTab Browser,,
06-03-2025,Pago Bitcoin Mining,true,17.84,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
06-03-2025,Renovación de suscripción CT Lite,true,-106.24,MXN,NCwallet ,Inversión,CryptoTab browser ,,X15 | Trimestral
06-03-2025,Cashback por compra,true,11.77,MXN,NCwallet ,Recompensas,,,
07-03-2025,Refresco,true,-19,MXN,Monedero físico ,Comida,,,
10-03-2025,Semanal,true,21.58,MXN,BBVA,Salario,,,
10-03-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
10-03-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
10-03-2025,Canje de puntos,true,20,MXN,Google Play ,Recompensas,,,
10-03-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
10-03-2025,Compra de X15 en CT Lite | 6 meses,true,-174.25,MXN,Google Play ,Inversión,CryptoTab browser ,,
12-03-2025,Pago CryptoTab Pool,true,33.77,MXN,NCwallet ,Inversión,CryptoTab Pool,,
13-03-2025,Google one | 30GB de memoria,true,-17,MXN,Google Play ,Play Store,Suscripciones,,
14-03-2025,Pago CryptoTab Browser,true,25.17,MXN,NCwallet ,Inversión,CryptoTab Browser,,
16-03-2025,Canje de puntos de Google play points,true,2,MXN,Google Play ,Recompensas,,,
17-03-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
17-03-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
17-03-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
17-03-2025,Compra de suscripción X10 en CryptoTab Pro | Trimestral,true,-352.75,MXN,Google Play ,Inversión,CryptoTab browser ,,
17-03-2025,Cashback por compra,true,22.71,MXN,NCwallet ,Recompensas,,,
19-03-2025,Pago CryptoTab Browser,true,25.18,MXN,NCwallet ,Inversión,CryptoTab Browser,,
20-03-2025,Pago CryptoTab Pool,true,33.89,MXN,NCwallet ,Inversión,CryptoTab Pool,,
23-03-2025,Pago CryptoTab browser,true,34.07,MXN,NCwallet ,Inversión,CryptoTab Browser,,"2,000 SAT"
24-03-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
24-03-2025,Recompensas,true,20,MXN,Monedero físico ,Recompensas,,,
24-03-2025,1 boleto tren,true,-10,MXN,Monedero físico ,Transporte,,,
26-03-2025,Pago CryptoTab Pool,true,34.88,MXN,NCwallet ,Inversión,CryptoTab Pool,,"2,000 SAT"
26-03-2025,Compra de suscripción X15 CT Lite | 6 meses,true,-161.81,MXN,NCwallet ,Inversión,CryptoTab browser ,,
26-03-2025,Cashback por compra,true,20.54,MXN,NCwallet ,Recompensas,,,
27-03-2025,Agua,true,-19,MXN,BBVA,Comida,,,
28-03-2025,Pago Bitcoin Mining,true,16.96,MXN,Wallet Muun,Inversión,Bitcoin Mining,,"1,000 SAT"
28-03-2025,Transferencia a Google Play  (Out),true,-220,MXN,Monedero físico ,Transferencia,,,
28-03-2025,Transferencia a Google Play  (In),true,220,MXN,Google Play ,Transferencia,,,
29-03-2025,Pago CryptoTab Browser,true,51.39,MXN,NCwallet ,Inversión,CryptoTab Browser,,"3,000 SAT"
29-03-2025,Ganancias de la semana,true,5.76,MXN,Exnova (1era cuenta),Trading ,Exnova,,Afectadas por un modelo de trading diferente. Trading convencional usando señales
31-03-2025,Bono sin depósito,true,102.22,MXN,Iq Option | luis213465rivas@gmail.com,Recompensas,,,
31-03-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
31-03-2025,Transferencia a Google Play  (Out),true,-215,MXN,Monedero físico ,Transferencia,,,
31-03-2025,Transferencia a Google Play  (In),true,215,MXN,Google Play ,Transferencia,,,
31-03-2025,"Compra de suscripción 20,000 H/s",true,-432.65,MXN,Google Play ,Inversión,CryptoTab browser ,,CT Max | Trimestral | Google Play
31-03-2025,Pago CryptoTab Pool,true,27.54,MXN,NCwallet ,Inversión,CryptoTab Pool,,"1,608 SAT"
31-03-2025,Pago CryptoTab Browser,true,20.13,MXN,NCwallet ,Inversión,CryptoTab Browser,,"1,175 SAT"
31-03-2025,Cashback por compra,true,57.28,MXN,NCwallet ,Recompensas,,,
02-04-2025,Pago CT Browser,true,3.86,MXN,NCwallet ,Inversión,CryptoTab Browser,,217 SAT
03-04-2025,Renovación de suscripción a otra app de gestor de gastos ,true,-60.71,MXN,RedotPay,Play Store,Suscripciones,,
03-04-2025,Transferencia a RedotPay (In),true,82.83,MXN,RedotPay,Transferencia,,,
03-04-2025,Transferencia a RedotPay (Out),true,-82.83,MXN,NCwallet ,Transferencia,,,
07-04-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
07-04-2025,Pago CT Browser,true,49.79,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 3,000 SAT"
07-04-2025,Pago CT Pool,true,16.22,MXN,NCwallet ,Inversión,CryptoTab Pool,,"1,000 SAT"
08-04-2025,Pago de impresiones,true,-5,MXN,Monedero físico ,Educación,,,
08-04-2025,Pago CT Browser,true,47.88,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 3,000 SAT"
10-04-2025,Transferencia a Google Play  (Out),true,-270,MXN,Monedero físico ,Transferencia,,,
10-04-2025,Pago CT Pool,true,16.53,MXN,NCwallet ,Inversión,CryptoTab Pool,,"Pago 1,000 SAT"
10-04-2025,Canje de puntos por saldo,true,10,MXN,Google Play ,Recompensas,,,
10-04-2025,Pago Bit Tycoon,true,33.13,MXN,Trust Wallet,Inversión,Bit tycoon,,"Pago 2,000 SAT"
10-04-2025,Transferencia a Google Play  (In),true,270,MXN,Google Play ,Transferencia,,,
11-04-2025,Ganancias de la semana,true,1.24,MXN,Exnova (1era cuenta),Trading ,Exnova,,Semana de pruebas de estrategias y scripts en cuenta real.
11-04-2025,Ganancias de la semana,true,4.53,MXN,Iq Option | luis213465rivas@gmail.com,Trading ,IQ Option,,Prueba de estrategias en cuenta real.
11-04-2025,Nueva suscripción CT Browser,true,-276.25,MXN,Google Play ,Inversión,CryptoTab browser ,,Compra de suscripción X15 CT Lite | 12 meses | Pago con saldo de Google Play
11-04-2025,Cashback por compra,true,33.41,MXN,NCwallet ,Recompensas,,,
12-04-2025,Transferencia a Cwallet  (In),true,101.56,MXN,Cwallet ,Transferencia,,,
12-04-2025,Transferencia a Cwallet  (Out),true,-101.56,MXN,NCwallet ,Transferencia,,,
13-04-2025,Pago CT Browser,true,67.70,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 4,000 SAT"
13-04-2025,Recompensas,true,50,MXN,Monedero físico ,Recompensas,,,
13-04-2025,Comida,true,-15,MXN,Monedero físico ,Comida,,,
13-04-2025,Transferencia a RedotPay (In),true,101.01,MXN,RedotPay,Transferencia,,,
13-04-2025,Transferencia a RedotPay (Out),true,-101.01,MXN,Cwallet ,Transferencia,,,
13-04-2025,Suscripción Google One,true,-17,MXN,RedotPay,Play Store,Suscripciones,,
14-04-2025,CT Browser Lite,true,-109.65,MXN,RedotPay,Inversión,CryptoTab browser ,,"Renovación de suscripción 5,000 H/s en CT Lite | Trimestral"
14-04-2025,CT Browser Lite,true,-265.17,MXN,NCwallet ,Inversión,CryptoTab browser ,,"Compra de suscripción 4,500 H/s en CT Lite | anual | pago con cripto"
14-04-2025,Por responder encuesta de Google,true,2.43,MXN,Google Play ,Recompensas,,,
15-04-2025,Cashback por compra,true,38.45,MXN,NCwallet ,Recompensas,,,
17-04-2025,Pago de app en deshuso,true,3.67,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
18-04-2025,Pago CT Browser,true,67.85,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 4,000 SAT"
18-04-2025,Pago CT Pool,true,16.84,MXN,NCwallet ,Inversión,CryptoTab Pool,,"Pago 1,000 SAT"
19-04-2025,Pago Bitcoin Mining,true,16.69,MXN,Wallet Muun,Inversión,Bitcoin Mining,,"Pago 1,000 SAT"
23-04-2025,Pago CT Browser,true,73.64,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 4,000 SAT"
25-04-2025,Ganancias de la semana,true,17.57,MXN,Exnova (1era cuenta),Trading ,Exnova,,"Ganancias de la semana | Operaciones asistidas con scripts de estrategias rentables. Se busca ir aumentando gradualmente el capital para seguir adelante.
"
26-04-2025,Pago CT Pool,true,18.49,MXN,NCwallet ,Inversión,CryptoTab Pool,,"Pago 1,000 SAT"
27-04-2025,Transferencia a RedotPay (Out),true,-122.25,MXN,NCwallet ,Transferencia,,,
27-04-2025,Transferencia a RedotPay (In),true,122.25,MXN,RedotPay,Transferencia,,,
28-04-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
28-04-2025,Pago CT Browser,true,73.80,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 4,000 SAT"
28-04-2025,CT Browser Max,true,-119.57,MXN,RedotPay,Inversión,CryptoTab browser ,,Renovación de acceso CT Max | Anual
05-05-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
06-05-2025,Pago Bit Tycoon,true,40.88,MXN,Trust Wallet,Inversión,Bit tycoon,,"Pago 2,000 SAT"
06-05-2025,Transferencia a Google Play  (Out),true,-400,MXN,Monedero físico ,Transferencia,,,
06-05-2025,Transferencia a Google Play  (In),true,400,MXN,Google Play ,Transferencia,,,
06-05-2025,Por responder encuesta de Google,true,2.50,MXN,Google Play ,Recompensas,,,
06-05-2025,Pago CT Browser,true,93.13,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 5,000 H/s"
06-05-2025,CT Pool,true,-140.25,MXN,Google Play ,Inversión,CryptoTab Pool,,"Compra de suscripción 15,000 H/s | Trimestral | Saldo Google Play"
06-05-2025,CT Pool,true,-254.15,MXN,Google Play ,Inversión,CryptoTab Pool,,"Compra de suscripción 15,000 H/s | 6 meses | Saldo Google Play"
09-05-2025,Por responder encuesta de Google,true,3.68,MXN,Google Play ,Recompensas,,,
10-05-2025,Transferencia a RedotPay (In),true,58.32,MXN,RedotPay,Transferencia,,,
10-05-2025,Transferencia a RedotPay (Out),true,-58.32,MXN,NCwallet ,Transferencia,,,
12-05-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
12-05-2025,Pago CT Pool,true,40.30,MXN,NCwallet ,Inversión,CryptoTab Pool,,"Pago 2,000 SAT"
13-05-2025,Pago CT Browser,true,101.23,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 5,000 SAT"
13-05-2025,Compra en CT Max,true,-384.40,MXN,NCwallet ,Inversión,CryptoTab browser ,,"Compra de suscripción 20,000 H/s en CT Max | Trimestral | Pago con cripto"
13-05-2025,Renovación Google One,true,-17,MXN,RedotPay,Play Store,Suscripciones,,
16-05-2025,Ingresos de la semana ,true,22.54,MXN,Exnova (1era cuenta),Trading ,Exnova,,"• Incremento: $22.54
• ROI: 147.56%"
19-05-2025,Renta de bata de laboratorio,true,-12,MXN,Monedero físico ,Educación,,,
19-05-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
19-05-2025,Pago CT Browser,true,102.14,MXN,NCwallet ,Inversión,CryptoTab Browser,,"Pago 5,000 SAT"
19-05-2025,Pago Bitcoin Mining,true,40.40,MXN,Wallet Muun,Inversión,Bitcoin Mining,,"Pago 2,000 SAT"
19-05-2025,Transferencia a Google Play  (In),true,400,MXN,Google Play ,Transferencia,,,
19-05-2025,Transferencia a Google Play  (Out),true,-400,MXN,Monedero físico ,Transferencia,,,
20-05-2025,Suscripción CT Farm,true,-412.25,MXN,Google Play ,Inversión,CryptoTab Farm,,"Compra de suscripción 47,000 H/s | Trimestral | Saldo Google Play"
20-05-2025,Pago CT Pool,true,41.16,MXN,NCwallet ,Inversión,CryptoTab Pool,,"Pago 2,000 SAT"
21-05-2025,Transferencia a Cwallet  (In),true,103.75,MXN,Cwallet ,Transferencia,,,
21-05-2025,Transferencia a Cwallet  (Out),true,-103.75,MXN,Wallet Muun,Transferencia,,,
21-05-2025,Transferencia a Trust Wallet (In),true,4,MXN,Trust Wallet,Transferencia,,,
21-05-2025,Transferencia a Trust Wallet (Out),true,-4,MXN,Cwallet ,Transferencia,,,
21-05-2025,Transferencia a Cwallet  (In),true,82.23,MXN,Cwallet ,Transferencia,,,
21-05-2025,Transferencia a Cwallet  (Out),true,-82.23,MXN,Trust Wallet,Transferencia,,,
21-05-2025,Transferencia a NCwallet  (Out),true,-191.57,MXN,Cwallet ,Transferencia,,,
